id,restaurant known for,delivery_rating,delivery_review_number,location,timings,average_price,Dishes,cuisines
22,,4.4,1,"Seshadripuram, Bangalore","12midnight – 2am, 10am – 12midnight",₹350,,"['Waffle', 'Pancake', 'Ice Cream', 'Desserts', 'Beverages']"
23,"Family Place, Good Delivery, Packed on Weekends, Fancy Crowd, Best Food under Best Budget, Nice Taste",4.2,78.7,"Rajajinagar, Bangalore",10am – 4am,₹900,"French Chicken, Jumbo Roll, Barbeque Chicken, Panneer Butter Masala, Kerala Parotta, Rumali Roti","['North Indian', 'Biryani', 'Arabian', 'Mughlai', 'Chinese']"
24,"Everything was very Good, Amazing Food at Amazing Price, Amazing Vibe, Good Service Good Quality, Ample Seating Area, Staff Behaviour",4.0,10.7,"Indiranagar, Bangalore",Opens tomorrow at 11:30am,₹1,"Drumstick Soup, Fish Tawa Fry, Pudina Paratha, Bamboo Chicken, Fried Rice Chicken, Butter Kulcha","['Andhra', 'Biryani', 'North Indian', 'Chinese', 'Desserts', 'Ice Cream', 'Beverages']"
25,,4.1,6,"Vijay Nagar, Bangalore","12midnight – 1am, 7am – 12midnight",₹150,,"['South Indian', 'North Indian', 'Chinese', 'Beverages']"
26,,4.1,1,"Shanti Nagar, Bangalore",,₹150,,"['Burger', 'Fast Food', 'American']"
27,"Nice Taste, Nice Service, Good Quantity, Nice Food, Good Taste, Awesome Food",3.9,32.4,"BTM, Bangalore",9am – 4am,₹150,,"['Kerala', 'Biryani', 'South Indian', 'Arabian', 'Beverages', 'Juices', 'Shake', 'Chinese']"
28,"Cute Packaging, Food Presentation, Value for Money, Extensive Menu, Timely Service, Worth the Money",4.4,3,"Vasanth Nagar, Bangalore",,₹300,,"['Bakery', 'Desserts']"
29,"Delivery Person, Weekend Brunch, Excellent Taste, Nice Taste, Best Food, Good Quantity",3.9,33.2,"Shivajinagar, Bangalore",8am – 6am,₹200,"Chicken Manchurian Roll, Mutton Briyani, Dal Fry, Ghee Rice","['North Indian', 'Chinese', 'Sichuan']"
30,,4.1,25,"Hosur Road, Bangalore",,₹100,,"['Bakery', 'Desserts', 'Mithai']"
31,,4.4,199,"Seshadripuram, Bangalore",9am – 3am,₹100,,"['Ice Cream', 'Desserts']"
32,"Good Delivery, Delivery Time, Amazing Taste, Delicious Taste, Tamper Proof Packaging, Perfect Presentation",3.3,14.9,"Shivajinagar, Bangalore",7am – 5am,₹400,,"['North Indian', 'Chinese', 'Mughlai', 'Biryani']"
33,"Extensive Menu, Cute Packaging, Food Presentation, Timely Service, Delicious Food, Prices",3.2,1,"Rajajinagar, Bangalore",24 Hours,₹150,,"['Pizza', 'Burger', 'Fast Food']"
34,"Value for Money, Worth the Money, Great Portions, Good Quality",3.8,3,"Rajajinagar, Bangalore",,₹150,,"['Fast Food', 'Burger', 'Pizza']"
35,"Serving Size, Quick Service, Flavour, Main Course, Tasty Food, Portion Size",4.3,5,"Richmond Road, Bangalore",Opens tomorrow at 12noon,₹1,,"['Chinese', 'Seafood', 'Thai', 'Rolls', 'Malaysian', 'Mughlai', 'Momos']"
36,"Authentic, Gastronomical Experience, Comfortable Seating Area, Family Place, Good Quality Food, Friendly Service",4.1,10.5,"Frazer Town, Bangalore",11am – 3am,₹1,"Mutton Kofta, Patthar Gosht, Matka Phirni, Chocolate Pan, Bheja Fry, Fry Prawns","['Biryani', 'Kebab', 'Mughlai', 'Arabian', 'South Indian', 'Rolls', 'Desserts', 'Beverages']"
37,,4.0,2,"Cunningham Road, Bangalore",,₹150,,"['Shawarma', 'Wraps']"
38,"Delivery Time, Good Quantity, Nice Food, Tasty, Great Food, Prices",3.8,15.4,"Frazer Town, Bangalore",,₹250,"Rice Bowl, Steak, Salads, Burgers, Noodles, Cake","['Continental', 'Oriental', 'Asian', 'Healthy Food', 'Sandwich', 'Chinese', 'Desserts']"
39,"Nice Food, Perfect Presentation, Customizable Food, Worth the Money, Ambience, Great Portions",4.1,3,"Hosur Road, Bangalore","12midnight – 2am, 10am – 12midnight",₹550,,['Chinese']
40,"Nice Taste, Good Quantity, Affordable Prices, Best Food under Best Budget, Nice Food, Good Taste",3.9,16.8,"Indiranagar, Bangalore",,₹150,,"['North Indian', 'South Indian', 'Chinese', 'Mughlai', 'Biryani', 'Fast Food', 'Beverages', 'Desserts']"
41,,4.1,1,"Shanti Nagar, Bangalore",,₹200,,"['Rolls', 'Wraps', 'Shawarma']"
42,"Safe Delivery, Perfect Service, Prompt Delivery, Low Price, Reasonable Rate, Contactless Delivery",3.2,40.4,"BTM, Bangalore",24 Hours,₹150,"Chicken Dum Biryani, Chicken Fried Rice, Gobi Manchurian, Chilli Chicken, Salad","['Biryani', 'North Indian', 'Mughlai', 'Fast Food', 'Beverages', 'Sichuan']"
43,"Affordable Rate, Fast Delivery, Perfect Presentation, Cutlery, Spill Proof Packaging, Combo",3.4,18.7,"BTM, Bangalore",24 Hours,₹450,,"['Biryani', 'North Indian', 'Chinese', 'Desserts', 'Beverages', 'Sichuan']"
44,,4.1,3,"Hosur Road, Bangalore",,₹250,,"['Continental', 'Chinese', 'Oriental', 'Asian', 'Healthy Food', 'Sandwich']"
45,"Spicy, Value for Money, Great Portions, Good Taste, Good Food",4.2,4,"Indiranagar, Bangalore",,₹250,,"['Biryani', 'Andhra', 'Hyderabadi', 'South Indian']"
46,,3.6,1,"Vasanth Nagar, Bangalore",,₹350,,"['Bakery', 'Desserts', 'Ice Cream', 'Shake', 'Beverages']"
47,"Chirpy Crowd, Customizations Available, Cozy Ambiance, Tandoori, Great Recommendations, Excellent Taste",4.1,29.5,"Koramangala 5th Block, Bangalore",12noon – 3am,₹400,,"['Biryani', 'Kebab', 'North Indian']"
48,,3.3,351,"RT Nagar, Bangalore",Opens tomorrow at 12:30pm,₹300,,"['Burger', 'Rolls', 'Fast Food', 'Roast Chicken']"
49,,3.8,1,"Brigade Road, Bangalore",10am – 2am,₹350,"Milkshakes, Shake, Chocolate, Coffee","['Shake', 'Beverages', 'Desserts', 'Ice Cream', 'Waffle', 'Healthy Food']"
50,"Good for Large Groups, Generous Portions, Family Place, Serving Size, Good Options, Quick Delivery",4.0,30.2,"Koramangala 5th Block, Bangalore","11:30am – 4pm, 6:30pm – 1am",₹950,"Dum Ka Chicken, Pepper Prawns, Chicken 65, Tender Chicken, Paneer Biryani, Grill Chicken","['Biryani', 'North Indian', 'Chinese', 'Mughlai', 'Seafood', 'Beverages', 'Desserts']"
51,"Great Place, Good Place, Value for Money, Food Quality, Ambience, Service",4.5,1,"St. Marks Road, Bangalore",Opens tomorrow at 11am,₹300,,"['Ice Cream', 'Shake']"
52,,3.8,201,"Shanti Nagar, Bangalore",,₹200,,"['Biryani', 'Mughlai']"
53,"Wonderful Presentation, Perfect Presentation, Packing, Value for Money, Quantity",3.9,2,"Jayanagar, Bangalore",Opens tomorrow at 11am,₹400,,"['Momos', 'Fast Food', 'Chinese', 'Tibetan', 'Sichuan', 'Beverages', 'Desserts']"
54,,3.7,513,"Frazer Town, Bangalore",,₹300,,"['Continental', 'Chinese', 'Oriental', 'Asian', 'Healthy Food', 'Sandwich']"
55,,4.2,3,"Cunningham Road, Bangalore",,₹250,,"['Healthy Food', 'Pizza', 'North Indian', 'Burger', 'Biryani', 'Chinese', 'Desserts', 'Beverages']"
56,"Food Tastes Great, Healthy and Delicious, Value for Money, Packaging, Taste, Food",4.3,1,"Seshadripuram, Bangalore",,₹250,,"['Andhra', 'Biryani', 'South Indian', 'Desserts', 'Beverages', 'Hyderabadi']"
57,"Student Crowd, Nice Food, Cute Packaging, Customizable Food, Elaborate Menu, Value for Money",4.3,2,"Frazer Town, Bangalore","12midnight – 2am, 11:30am – 12midnight",₹950,,"['Biryani', 'Andhra', 'North Indian', 'Chinese', 'Mughlai', 'Beverages']"
58,"Portion Size, Food Quality, Value for Money, Packaging",4.4,390,"Hosur Road, Bangalore",24 Hours,₹200,,"['Ice Cream', 'Desserts']"
59,,4.1,719,"Shanti Nagar, Bangalore",,₹200,,"['North Indian', 'Biryani', 'Mughlai']"
60,"Nice Food, Value for Money, Good Taste, Quantity, Fresh Food, Good Quality",4.0,5,"City Market, Bangalore","12midnight – 2am, 10:15am – 12midnight",₹300,,"['North Indian', 'Biryani', 'Chinese']"
61,"Prompt Service, Amazing Food, Portion, Spicy, Quantity",3.5,6,"Old Madras Road, Bangalore",11am – 3am,₹450,,"['North Indian', 'Mughlai', 'Chinese', 'Kebab', 'Rolls', 'Seafood', 'Arabian', 'Biryani']"
62,,3.6,491,"Indiranagar, Bangalore","12midnight – 4am, 6am – 12midnight",₹300,,"['North Indian', 'Chinese']"
63,"Value for Money, Packaging, Ambience, Portion Size, Food",4.2,1,"Majestic, Bangalore","12midnight – 1am, 11:30am – 12midnight",₹700,,"['North Indian', 'Chinese', 'Mughlai', 'Biryani', 'Seafood', 'Rolls', 'Fast Food', 'Ice Cream']"
64,"Student Crowd, Fast Delivery, Nice Taste, Young Crowd, Good Quantity, Customizable Food",3.9,27.1,"Basaveshwara Nagar, Bangalore",11:30am – 3am,₹300,,"['Biryani', 'South Indian']"
65,"Breakfast, Friendly Place, Great Value, Cleanliness, Decent Place, Reasonable Price",4.3,5,"Indiranagar, Bangalore",6:30am – 12:45am,₹300,"Mini Idlis, Chutneys, Filter Coffee, Masala Dosa, Tea, Rice",['South Indian']
66,,4.3,619,"Vasanth Nagar, Bangalore",11am – 12midnight,₹500,,"['Ice Cream', 'Desserts', 'Shake', 'Bakery']"
67,,3.8,714,"1 Sobha, Bangalore",9am – 3am,₹600,,"['Healthy Food', 'Sandwich', 'Fast Food', 'Wraps', 'Salad', 'Beverages']"
68,,3.8,2,"Domlur, Bangalore",24 Hours,₹400,,"['Burger', 'Sandwich', 'Fast Food', 'Wraps', 'Biryani', 'Beverages', 'Desserts']"
69,,3.6,3,"BTM, Bangalore",,₹250,,"['Biryani', 'Fast Food']"
70,"Excellent Food and Service, Yummy Food, Fancy Crowd, Weekend Brunch, Management, Spill Proof Packaging",4.0,11.5,"Shanti Nagar, Bangalore",24 Hours,₹350,"Aloo Pyaaz Paratha, Panner Butter Masala, Spicy Food, Chole Bhature, Shakes, Brownie","['North Indian', 'Chinese', 'Street Food', 'Beverages']"
71,"Very Affordable, Delicious Taste, Excellent Taste, Fresh Food with Good Quality, Tasty, Portion",4.1,8,"BTM, Bangalore",,₹300,,"['Biryani', 'North Indian', 'Chinese']"
72,"Low Price, Prompt Service, Healthy Food, Great Ambiance, Good Options, Concept",4.5,11,"Indiranagar, Bangalore",Opens tomorrow at 11am,₹450,"Chicken Quesadilla, Nimbu Pani, Burrito, Rice Bowl, Bbq Chicken, Salads","['Mexican', 'Healthy Food', 'American', 'Salad', 'Fast Food', 'Beverages']"
73,"Quality Food, Chef, Tasty, Cute Packaging, Combo, Food Presentation",3.7,29.7,"Koramangala 7th Block, Bangalore",,₹150,"Paneer Punjabi Masala, Afghan Chicken, Punjabi Chicken, Honey Chilli Potatoes, Authentic Punjabi Food, Tandoori Roti","['North Indian', 'Biryani', 'Mughlai', 'Chinese', 'Kebab']"
74,"Good Service Good Quality, Best Food under Best Budget, Spill Proof Packaging, Affordable Prices, Nice Taste, Extensive Menu",4.4,387,"Vasanth Nagar, Bangalore",,₹100,"Lime Ice Tea, Lime Mint Cooler, Arabian Grape Juice, Lassi, Juice, Salad","['Juices', 'Beverages', 'Shake', 'Ice Cream', 'Desserts']"
75,"Tandoori, Nice Taste, Fast Delivery, Good Quantity, Best Food, Great Taste",4.0,61.5,"BTM, Bangalore",Opens tomorrow at 12midnight,₹500,"Hyderabadi Lamb Biryani, Spicy Chicken, Paneer Biryani, Kabab","['Biryani', 'North Indian', 'Chinese', 'Hyderabadi', 'Andhra', 'Wraps', 'Sichuan']"
76,,3.7,891,"Jayanagar, Bangalore","12midnight – 1am, 11am – 12midnight",₹600,,"['Biryani', 'South Indian', 'Kebab']"
77,"Clean and Hygienic Place, Quality Food, Nice Food, Customizable Food, Good Taste, Delicious Food",4.0,3,"Richmond Road, Bangalore",,₹400,,"['South Indian', 'Chinese', 'North Indian', 'Biryani', 'Kebab', 'Momos', 'Rolls']"
78,"Food Packaging, Boneless Chicken Biryani, Comfort Food, Excellent Taste, Good Wifi, Preparation",4.0,5,"Jayanagar, Bangalore","12midnight – 1am, 11:15am – 12midnight",₹1,"Corn Veg Soup, Chicken Tikka Biryani, Aloo Jeera, Egg Biryani, Chicken Lollipop, Mutton Biryani","['Biryani', 'North Indian', 'South Indian']"
79,"Boneless Chicken Biryani, Good for Large Groups, Servings, Family Place, Relaxed Atmosphere, Family Restaurant",4.2,62.3,"JP Nagar, Bangalore",Opens tomorrow at 11:30am,₹850,"Pepper Chicken Wing, Spicy Andhra Biryani, Veg Hyderabadi Biryani, Kaju Curry, Egg Chilli, Chicken Lollypop","['Biryani', 'Hyderabadi', 'Andhra', 'Chinese', 'North Indian', 'South Indian', 'Mughlai', 'Seafood']"
80,,4.0,2,"Richmond Road, Bangalore",,₹100,,"['Rolls', 'Chinese', 'North Indian', 'Biryani']"
81,"Cute Packaging, Food Presentation, Timely Service, Extensive Menu, Worth the Money, Great Portions",4.1,1,"BTM, Bangalore",,₹200,,"['Rolls', 'Fast Food', 'North Indian']"
82,,3.8,98,"Shanti Nagar, Bangalore",,₹250,,"['Bakery', 'Desserts', 'Ice Cream']"
83,,4.1,1,"Cunningham Road, Bangalore",,₹200,,"['North Indian', 'Healthy Food', 'South Indian', 'Fast Food', 'Mithai', 'Juices', 'Desserts', 'Beverages']"
84,"Keto Options, Extensive Bar Menu, Fusion Dishes, Variety of Veg Options, Good for Large Groups, Comfortable Seating Area",4.1,5,"Majestic, Bangalore",Opens tomorrow at 11am,₹950,,"['Andhra', 'Biryani', 'North Indian']"
85,"Romantic Seating, Crew, Lights, Best Food under Best Budget, Parking, Portions",4.0,1,"Church Street, Bangalore",Opens tomorrow at 11am,₹350,"Spicy Burger, Choco Brownie, Mojito, Shakes, Fries, Drinks","['Burger', 'American', 'Fast Food', 'Wraps', 'Beverages', 'Shake']"
86,"Cute Packaging, Breakfast, Food Presentation, Worth the Money, Extensive Menu, Proper Packaging",4.2,10.5,"Koramangala 5th Block, Bangalore",7am – 1am,₹200,"Mango Shakes, Masala Tea, Ginger Tea, Masala Chai, Lemon Tea, Vada Pav","['Tea', 'Coffee', 'Beverages', 'Shake', 'Fast Food', 'Rolls', 'Desserts', 'Cafe']"
87,"Contactless Delivery, Best Food, Wonderful Presentation, Proper Packaging, Great Portions, Packing",3.6,11.2,"Frazer Town, Bangalore",Opens tomorrow at 12:30pm,₹300,,"['Rolls', 'Chinese', 'Momos', 'Fast Food']"
88,"Excellent Service, Value for Money, Ambience, Packaging, Fresh Food, Good Service",3.9,1,"Domlur, Bangalore","12midnight – 2am, 11:30am – 12midnight",₹1,,"['Biryani', 'Kebab', 'North Indian', 'Rolls', 'Desserts', 'Chinese']"
89,"Nice Food Quality, Family Restaurant, Family Place, Relaxed Atmosphere, Best Restaurant, Great Value",4.0,7,"Frazer Town, Bangalore",1pm – 3am,₹1,"Chicken Shwarma Roll, Savoury, Jumbo Shawarma, Alfaham Chicken, Barbecue Chicken, Mutton Pepper Fry","['North Indian', 'Arabian', 'Chinese', 'Mughlai', 'Seafood', 'Shawarma', 'Desserts', 'Beverages']"
90,"Excellent Taste, Portions, Spicy, Good Taste, Value for Money, Packing",4.2,10.4,"Indiranagar, Bangalore",Opens tomorrow at 11am,₹850,,"['Biryani', 'Chettinad', 'Chinese', 'North Indian', 'Mughlai']"
91,,3.9,99,"Vasanth Nagar, Bangalore",,₹250,,"['Pizza', 'Italian', 'Fast Food', 'Beverages']"
92,"Service and Quality of Food, Ample Seating Area, Gastronomical Experience, Packed on Weekends, Nice Taste, Amazing Service",4.0,7,"Indiranagar, Bangalore",Opens tomorrow at 11am,₹1,"Mutton Varuval, Mutton Sukka, Liver Fry, Mutton Pepper, Pepper Chicken, Starter","['Biryani', 'South Indian', 'North Indian', 'Mughlai', 'Chinese', 'Seafood', 'Desserts', 'Beverages']"
93,"Good Wifi, Student Crowd, Cute Packaging, Customizable Food, Food Presentation, Elaborate Menu",3.9,598,"Jayanagar, Bangalore","12midnight – 2am, 10:45am – 12midnight",₹400,,"['Pizza', 'Fast Food', 'Beverages']"
94,,4.2,472,"Shanti Nagar, Bangalore",,₹200,,"['North Indian', 'Biryani', 'Mughlai']"
95,"Great Recommendations, Reasonable Prices, Prompt Service, Worth the Money, Food Presentation, Good Taste",4.0,4,"Koramangala 5th Block, Bangalore",,₹100,"Corn Samosa, Indori Poha, Masala Tea, Vada Pav, Chai","['Street Food', 'Tea', 'North Indian', 'Beverages', 'Mithai', 'Desserts']"
96,"Good Wifi, Weekend Brunch, Student Crowd, Elaborate Menu, Outdoor Seating, Customizable Food",4.3,969,"Lavelle Road, Bangalore",8am – 1am,₹700,"Cake Rusk, Black Forest Cake, Cheesecake, Hot Chocolate, Chocolate Cake, Pastry","['Asian', 'Italian', 'Salad', 'Pizza', 'Sandwich', 'Burger', 'Desserts', 'Beverages']"
97,"Perfect Presentation, Wonderful Presentation, Delicious Food, Location, Tamper Proof Packaging, Great Portions",4.0,1,"Church Street, Bangalore",10am – 2am,₹800,"Paneer 65, Chicken 65, Paneer Biryani, Gulab Jamun, Mutton Biryani, Chicken Biryani","['Biryani', 'Hyderabadi', 'Mughlai']"
98,,4.1,713,"Indiranagar, Bangalore",,₹100,,"['Bakery', 'Desserts']"
99,"Good Quality, Value for Money, Ambience, Experience, Food",4.0,1,"Shanti Nagar, Bangalore","12midnight – 1am, 11:30am – 12midnight",₹250,,"['Ice Cream', 'Waffle', 'Desserts', 'Sandwich', 'Shake', 'Beverages']"
100,"Quick Delivery, Value for Money, Good Taste, Delicious Food",4.1,3,"BTM, Bangalore",,₹200,,"['North Indian', 'Chinese', 'Biryani']"
101,,4.0,2,"Hosur Road, Bangalore",,₹100,,"['Desserts', 'Bakery', 'Mithai']"
102,"Flavour, Ambiance, Menu, Taste",4.1,1,"Frazer Town, Bangalore",11am – 1am,₹300,,"['Ice Cream', 'Desserts', 'Shake', 'Beverages']"
103,,3.5,239,"Vasanth Nagar, Bangalore",,₹250,,"['Desserts', 'Shake', 'Ice Cream', 'Bakery', 'Beverages']"
104,"Great Veg Options, Mouth Watering Food, Student Crowd, Good Quantity, Family Crowd, Customizable Food",2.9,11.7,"BTM, Bangalore",Opens tomorrow at 12midnight,₹300,,"['North Indian', 'Chinese', 'Street Food', 'Rajasthani']"
105,,3.8,2,"Indiranagar, Bangalore",,₹150,,"['North Indian', 'Chinese', 'Desserts']"
106,"Chic Decor, Yummy Desserts, Cute Ambience, Art, Pretty Place, Beautiful Interiors",4.3,1,"Residency Road, Bangalore","12midnight – 1am, 11am – 12midnight",₹300,"Oreo Cookie Mousse, Nutella Oreo, Passion Fruit Sorbet, Deep Fried Oreo, Peanut Butter Ice Cream, Mississippi Mudpie","['Ice Cream', 'Desserts', 'Waffle', 'Beverages']"
107,,3.4,481,"Vasanth Nagar, Bangalore",,₹200,,"['Rolls', 'Wraps', 'Fast Food', 'Desserts', 'Shake', 'Beverages']"
108,,4.0,455,"Vijay Nagar, Bangalore",Opens tomorrow at 12midnight,₹500,,"['North Indian', 'Biryani', 'Mughlai', 'Chinese']"
109,"Chirpy Crowd, Drive through, Office Crowd, Economical, Pocket Friendly, Great Recommendations",4.1,4,"Koramangala 7th Block, Bangalore","12midnight – 3am, 11am – 12midnight",₹750,"Rajma Masala, Mushroom Manchurian, Tandoori Roti, Pav Bhaji",['North Indian']
110,"Food Presentation, Customizable Food, Great Portions, Fresh Food, Timely Service, Worth the Money",3.8,3,"Orion Mall, Malleshwaram, Bangalore",10am – 12midnight,₹400,,"['Mexican', 'Wraps', 'Fast Food']"
111,"Pocket Friendly Place, Cozy Ambience, Peaceful Ambience, Outside Seating, Staff Service, Outdoor",4.3,6,"Lavelle Road, Bangalore",9am – 12midnight,₹800,"Red Velvet Chocolate Cupcake, Signature Coffee, Chicken Pie, Cinnamon Roll, Quiche, Macaroon","['Bakery', 'Cafe', 'Italian', 'Continental', 'Fast Food', 'Beverages', 'Desserts']"
112,"Nice Packing, Chinese, Good Packaging, Authentic Taste, Food Presentation, Spill Proof Packaging",4.2,15.4,"Koramangala 8th Block, Bangalore",11am – 12midnight,₹250,"Chilli Basil Noodle, Spring Rolls, Dimsums, Thai Curry, Hakka Noodles, Chinese Food","['Chinese', 'Japanese', 'Thai', 'Indonesian', 'Asian']"
113,,3.5,2,"RT Nagar, Bangalore",,₹250,,"['Chinese', 'Momos', 'Sichuan']"
114,,4.0,1,"Rajajinagar, Bangalore",,₹400,,"['Bakery', 'Desserts']"
115,,4.1,6,"RT Nagar, Bangalore",12noon – 3am,₹200,,"['North Indian', 'Mughlai', 'Arabian', 'Chinese', 'Seafood']"
116,,4.1,171,"Richmond Road, Bangalore",,₹100,,"['Ice Cream', 'Desserts']"
117,,4.2,666,"Koramangala 7th Block, Bangalore",,₹200,,"['American', 'Burger', 'Beverages', 'Desserts', 'Fast Food', 'Finger Food']"
118,"Average Sized Portions, Fresh Food with Good Quality, Nice Concept, Healthy and Delicious, Clean and Hygienic Place, Spill Proof Packaging",3.5,3,"Basavanagudi, Bangalore",12noon – 3am,₹300,"Pizza Club Burger, Vada Pav, Sandwiches, Burger","['Pizza', 'Sandwich', 'Burger', 'Rolls', 'Pasta', 'Fast Food', 'Street Food']"
119,"Amazing Interiors, Fantastic Decoration, Awesome Spot to Hangout, Cheap and Affordable, Concept, Good Quantity",4.2,4,"Koramangala 6th Block, Bangalore",Opens at 10am,₹600,"Matka Phirni, Hyderabadi Chicken Biryani, Chicken Ghee Roast, Chicken 65, Briyani, Veg Biryani","['Biryani', 'Hyderabadi', 'Kebab', 'North Indian', 'Ice Cream', 'Desserts']"
120,"Great Taste, Flavour, Customizable Food, Packing, Tasty Food, Elaborate Menu",4.2,4,"Thippasandra, Bangalore",Opens at 11am,₹400,,"['Biryani', 'Kebab', 'Mughlai', 'North Indian', 'Desserts']"
